Murder,Rape,Kidnap,Dacoity/theft,Fraud,Sexual_harassment,Offences_against_state,Blocks,Villages,Clusters,Total_population,Urban_population,Sex_ratio,Overall_literacy,Female_lit,Male_lit,Area_sqkm,Total_crimes
52,204,47,470,20,276,0,4,630,40,1512353.0,19.4,939.0,70.17,56.36,83.2,6195.0,3868
34,69,36,148,11,103,3,3,598,29,687952.0,15.6,902.0,58.02,44.45,70.3,6606.0,1620
119,304,172,651,55,395,0,8,1630,80,1725818.0,17.1,877.0,63.73,49.47,76.2,10066.0,6007
45,120,100,244,21,185,3,5,941,64,1126515.0,8.3,952.0,66.09,55.23,76.5,4851.0,3649
96,372,149,760,25,338,8,5,1116,58,1311008.0,18.9,918.0,71.11,58.86,82.4,6578.0,5236
77,264,114,393,18,220,0,3,714,55,1178132.0,19.3,916.0,62.36,49.86,73.8,5675.0,3512
64,277,79,319,17,196,1,6,843,66,1444920.0,17.3,901.0,62.57,50.71,73.3,5048.0,3638
207,378,148,1594,53,607,0,7,1195,60,1986597.0,39.2,954.0,73.55,61.4,85.2,6091.0,9362
23,153,91,193,16,199,0,3,591,33,643579.0,17.2,953.0,67.34,56.06,78.1,4076.0,2268
159,469,140,791,46,500,1,7,1430,73,1458212.0,23.3,897.0,72.08,61.67,81.4,7371.0,6313
105,157,42,1035,115,380,18,8,853,99,1818617.0,39.69,942.0,87.55,81.91,92.89,5676.0,4512
40,84,23,655,55,130,2,7,749,63,1198810.0,19.5,984.0,85.14,77.02,93.17,4087.0,2048
104,298,49,1034,120,457,6,15,1536,141,2194262.0,35.08,959.0,81.35,73.65,88.73,11443.0,4596
85,105,43,599,89,321,10,5,896,89,2048781.0,27.91,941.0,74.61,66.21,82.59,7195.0,2841
111,67,8,199,36,50,2,12,1539,103,1071795.0,11.0,975.0,70.55,60.66,80.21,14412.0,916
56,72,29,200,44,167,0,5,765,68,1178973.0,15.17,935.0,76.04,64.73,86.73,4827.0,1800
159,198,84,1419,198,756,17,16,1437,173,4224442.0,31.8,922.0,79.73,70.92,87.97,11765.0,6566
144,99,39,875,116,495,12,8,1128,107,1958483.0,19.26,929.0,73.61,61.28,85.25,7718.0,3421
135,252,70,1500,317,341,17,13,1298,190,3874015.0,31.75,953.0,82.9,74.18,91.33,7685.0,5031
136,171,84,890,127,503,12,12,1193,137,2455543.0,25.47,924.0,79.03,70.02,87.42,7157.0,4167
150,129,95,824,155,336,14,17,1643,176,3356566.0,27.23,937.0,76.94,66.68,86.62,10528.0,4659
60,75,21,260,37,89,3,6,1206,96,1646177.0,16.72,972.0,63.04,53.9,71.98,5955.0,1457
99,129,28,692,76,253,6,8,764,81,1660311.0,16.96,920.0,76.33,66.67,85.31,7569.0,2886
129,294,114,1934,273,279,6,8,1006,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4836
129,114,64,766,145,398,9,10,874,87,1835982.0,31.04,940.0,75.22,64.27,85.66,6214.0,3671
29,103,19,439,74,95,4,9,1459,254,1612672.0,16.35,1123.0,82.43,74.55,91.43,8208.0,1623
98,199,68,909,206,276,29,11,784,152,2820575.0,25.51,964.0,82.62,74.66,90.4,8572.0,5272
115,291,88,1942,181,445,11,11,2026,227,3003922.0,18.98,986.0,84.2,76.29,92.09,10480.0,6221
26,37,10,237,30,53,0,8,721,144,848868.0,12.6,1037.0,86.54,79.73,93.68,5207.0,803
107,186,37,1030,99,299,1,8,876,92,1296157.0,32.47,946.0,87.22,81.89,92.27,6309.0,3779
98,99,32,638,55,307,4,6,683,74,1196714.0,17.69,926.0,81.7,72.26,90.54,4898.0,2638
178,324,157,2463,152,1283,31,16,1755,193,2775457.0,21.59,947.0,80.7,72.41,88.58,13582.0,10130
36,27,11,58,3,9,5,2,109,10,240363.0,36.73,1000.0,76.35,67.29,85.52,496.0,324
11,0,2,12,0,1,0,4,332,15,144028.0,11.74,932.0,70.85,63.26,77.93,3313.0,70
24,15,6,36,7,3,1,6,405,19,271274.0,6.4,969.0,84.29,80.13,88.34,4570.0,139
55,60,27,266,19,16,26,3,223,23,452661.0,40.28,1011.0,82.81,75.92,89.86,709.0,683
82,61,52,507,49,58,40,3,187,44,514683.0,61.9,1029.0,86.7,80.71,92.93,519.0,1426
13,3,11,16,2,2,3,6,531,30,354972.0,2.1,939.0,75.0,68.8,80.85,3271.0,121
23,0,9,12,2,0,1,4,249,32,140143.0,11.22,953.0,70.4,63.76,76.74,4391.0,125
63,57,61,170,30,51,12,2,144,12,420517.0,35.48,1006.0,76.66,67.57,85.9,514.0,787
21,3,3,6,1,0,1,5,242,40,183115.0,14.32,948.0,81.87,77.47,86.05,4544.0,58
26,117,2,712,46,63,14,11,183,51,404054.0,77.42,1009.0,98.5,98.0,99.01,3576.0,1126
13,66,1,136,4,29,0,4,109,23,125370.0,38.46,981.0,93.51,92.2,94.8,3185.0,282
2,31,2,183,4,11,6,3,45,11,83054.0,56.22,956.0,94.54,93.53,95.5,1382.0,278
7,27,0,41,1,5,0,5,169,19,117444.0,17.79,945.0,66.41,57.62,74.68,2557.0,113
14,42,0,92,7,13,1,4,134,25,154094.0,39.9,944.0,89.4,85.85,92.74,4536.0,202
1,30,2,74,2,8,0,4,82,17,85757.0,17.27,924.0,85.96,81.37,90.15,3025.0,136
4,12,0,43,3,2,1,2,80,11,56366.0,44.47,978.0,88.41,85.8,91.0,1399.0,81
4,36,0,55,2,3,1,3,49,12,64875.0,49.3,976.0,98.76,98.28,99.24,1421.0,120
39,38,25,270,27,14,73,5,277,30,379769.0,51.95,916.0,85.44,82.54,88.07,927.0,524
3,3,0,2,4,0,0,3,95,3,50593.0,15.04,903.0,73.1,70.35,76.54,1130.0,15
9,27,5,93,17,0,28,6,121,6,270063.0,45.6,927.0,85.58,81.56,89.28,1463.0,217
3,3,0,2,0,0,3,2,37,2,74033.0,22.28,961.0,71.1,65.44,75.6,562.0,17
8,3,2,14,13,2,5,6,128,6,193171.0,28.81,927.0,92.68,91.74,93.55,1615.0,69
9,3,0,11,3,0,1,5,139,5,250671.0,13.85,898.0,56.6,52.39,60.38,1786.0,41
1,1,0,7,0,1,4,3,106,7,94954.0,15.59,917.0,79.0,73.57,83.96,1651.0,19
15,3,0,31,4,3,12,4,109,5,163294.0,15.07,951.0,79.13,73.5,84.53,2026.0,76
0,3,2,20,1,0,2,5,126,14,196801.0,18.72,930.0,73.7,70.4,76.76,2536.0,50
19,0,2,29,0,0,1,3,138,42,166239.0,21.05,969.0,87.6,84.58,90.53,1628.0,90
11,9,1,39,4,0,0,5,202,5,141014.0,19.58,981.0,86.26,83.61,88.86,1255.0,86
147,133,85,861,67,188,10,11,1220,134,1271703.0,16.23,942.0,78.96,70.44,87.06,6375.0,3017
197,341,231,702,140,974,21,16,1830,207,2317419.0,10.92,957.0,80.66,72.95,88.06,3806.0,4485
125,189,116,349,85,375,8,9,1094,124,439917.0,12.33,991.0,72.51,60.44,89.92,2505.0,2917
96,168,130,400,43,287,9,19,1774,209,1648574.0,11.96,983.0,65.5,53.77,77.08,6575.0,2478
59,72,34,96,14,87,2,4,762,61,1506522.0,4.65,981.0,83.25,76.49,84.49,3098.0,640
95,174,94,361,49,93,2,19,1515,214,2618708.0,27.94,955.0,84.2,77.64,90.51,3932.0,2699
48,96,18,131,10,71,12,4,491,51,312164.0,7.61,976.0,73.07,63.36,82.62,2940.0,963
226,129,68,403,50,472,15,12,913,140,1192948.0,9.83,947.0,79.41,71.4,87.08,4452.0,2065
39,57,22,58,16,100,5,9,1179,133,575880.0,12.25,1042.0,54.29,43.59,65.58,4325.0,496
338,255,129,388,51,552,21,40,2460,338,3520151.0,21.78,981.0,71.88,61.84,81.85,8206.0,2730
105,111,83,568,76,357,23,11,1051,130,1136604.0,10.2,967.0,87.13,80.88,93.2,1668.0,2394
95,219,123,668,59,355,3,12,1448,152,1826275.0,7.39,972.0,80.44,73.37,87.36,2899.0,3318
53,126,48,421,30,172,9,8,385,60,0.0,0.0,0.0,0.0,70.05,86.27,2114.0,1502
93,303,190,236,63,366,9,17,1641,210,1573054.0,7.75,1003.0,60.22,47.27,73.34,7920.0,2223
43,162,48,144,58,169,0,14,1584,167,731952.0,9.86,1037.0,65.12,52.46,78.41,8021.0,1194
74,144,88,247,56,422,0,11,1238,152,1439891.0,5.8,1006.0,85.93,79.51,92.45,2644.0,2330
178,309,107,395,60,383,19,17,1857,191,1802777.0,14.04,987.0,69.0,58.7,79.22,8303.0,2725
119,282,73,256,30,207,10,18,1585,179,1376934.0,16.37,1031.0,49.87,38.92,61.29,8807.0,1540
63,57,21,78,37,54,1,9,790,110,612727.0,7.97,1016.0,49.49,38.95,60.29,5791.0,454
241,433,135,452,77,647,13,30,3238,384,2513895.0,7.67,1005.0,63.98,53.18,74.92,10418.0,3050
139,69,47,265,48,69,9,10,1024,103,962215.0,8.29,916.0,79.17,71.08,86.63,3890.0,1529
58,219,100,120,34,300,4,12,870,166,1218762.0,7.2,1018.0,48.2,37.22,59.45,5291.0,1837
56,78,57,154,21,236,0,8,627,87,606490.0,5.61,1020.0,58.2,45.21,71.55,3852.0,1211
153,209,146,809,117,366,20,15,1295,192,1697983.0,15.63,963.0,85.37,78.67,91.84,3479.0,4413
71,177,86,219,41,228,18,14,1843,182,961959.0,15.36,1048.0,50.88,39.87,62.61,7073.0,1295
128,243,98,1005,50,171,24,14,996,149,0.0,0.0,0.0,0.0,68.47,85.17,6624.0,3531
31,54,27,129,20,79,1,9,746,94,652107.0,7.66,959.0,74.42,63.63,84.78,2337.0,760
48,94,41,145,51,44,1,3,197,21,596294.0,31.97,876.0,68.9,64.14,73.1,1482.0,839
108,171,67,435,153,156,4,8,394,45,1388859.0,35.99,865.0,69.57,62.92,75.3,3353.0,2207
57,72,23,145,42,33,0,2,234,30,618008.0,35.2,889.0,70.65,64.82,75.9,1458.0,717
32,84,28,139,120,54,0,5,459,54,599814.0,30.87,871.0,80.33,75.53,84.5,1180.0,962
44,161,32,141,93,81,0,5,510,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977
30,86,31,124,86,86,0,11,1107,166,2299026.0,28.5,895.0,81.06,75.73,85.9,3551.0,823
71,136,63,367,167,143,0,10,1266,175,1582793.0,21.15,962.0,85.43,80.78,89.9,3386.0,1707
56,101,40,242,103,95,1,5,539,68,817668.0,34.9,912.0,80.18,75.36,84.6,1633.0,1157
56,71,15,104,111,68,2,5,288,46,768808.0,21.26,880.0,62.78,56.41,68.4,2198.0,823
68,88,36,258,91,68,2,5,332,46,992289.0,22.55,893.0,71.59,67.41,75.3,2242.0,1208
51,88,30,170,56,52,2,4,300,38,902702.0,27.99,895.0,66.79,60.03,72.9,2593.0,821
16,38,11,121,107,95,0,6,393,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599
111,122,91,469,348,246,2,8,995,124,1892282.0,53.64,888.0,76.26,70.47,81.4,3325.0,2813
92,171,58,328,148,146,0,10,707,97,1654408.0,40.27,883.0,68.88,62.86,74.2,3625.0,2037
122,402,226,1499,1486,1035,6,10,1243,351,2584913.0,40.09,950.0,70.46,56.42,83.93,8481.0,9436
172,926,373,3497,1452,1009,2,14,1994,508,3671999.0,17.82,894.0,71.68,56.78,85.08,8380.0,13301
38,450,152,292,106,307,0,11,1484,373,1798194.0,7.11,979.0,57.2,43.47,70.8,4522.0,3080
196,216,162,574,345,559,23,7,1117,228,1223921.0,20.79,926.0,67.38,52.48,81.23,6992.0,4636
72,325,57,574,360,568,77,17,2317,504,2604453.0,7.0,900.0,57.49,41.03,72.32,28387.0,4571
168,662,290,1657,862,787,12,10,1466,369,2549121.0,19.41,877.0,71.16,54.63,85.7,5066.0,10642
69,162,122,1024,752,1146,84,12,1852,410,2410459.0,21.29,969.0,62.71,47.93,77.16,10455.0,7452
115,225,81,491,857,688,0,7,866,293,2367745.0,33.95,903.0,65.92,53.77,76.9,30239.0,5572
75,240,145,361,362,508,1,5,946,200,1113725.0,19.94,922.0,62.31,47.0,76.52,5776.0,3977
97,227,102,418,606,466,0,7,1053,289,2041172.0,28.24,938.0,67.46,54.25,79.95,13835.0,3977
63,111,123,1145,538,389,0,6,1003,232,1637226.0,12.38,904.0,69.17,52.33,84.54,3432.0,5655
48,336,143,222,119,354,14,10,976,266,1388906.0,6.39,990.0,60.78,46.98,74.66,3770.0,2885
134,548,149,615,1234,1089,3,9,1937,378,1969520.0,27.2,887.0,70.25,60.07,79.33,10978.0,7256
146,416,79,430,817,734,1,7,994,284,1779650.0,19.71,906.0,68.37,56.91,78.82,9656.0,5282
32,30,18,255,149,147,0,3,569,152,672008.0,13.28,849.0,58.04,40.23,73.09,38401.0,1498
141,447,181,641,223,833,27,8,1512,256,1411327.0,16.26,945.0,62.13,47.06,76.47,6219.0,4919
65,147,130,764,233,332,0,6,776,239,1458459.0,14.99,858.0,67.34,49.18,82.96,5524.0,4693
155,306,133,696,687,618,6,14,1658,486,3309234.0,19.17,948.0,64.08,48.63,78.9,17718.0,5942
101,344,161,739,635,878,0,10,1118,330,2038533.0,22.56,987.0,63.23,48.35,78.16,12387.0,6576
28,144,89,339,354,377,10,7,1043,226,1158283.0,15.93,988.0,63.93,48.44,79.52,4655.0,2881
61,240,114,702,326,393,4,6,769,211,1338114.0,19.9,894.0,66.19,47.8,82.72,4498.0,4346
101,237,202,1113,1243,479,0,9,1147,354,2677737.0,23.65,944.0,72.98,58.76,86.66,7732.0,7145
85,156,66,195,281,359,1,5,503,174,1037185.0,20.13,938.0,56.02,40.12,71.09,5136.0,2437
53,180,77,492,377,453,1,6,1155,240,1421711.0,22.36,949.0,62.46,46.01,78.27,7194.0,4760
223,724,378,1363,1166,1213,65,17,2146,536,3067549.0,19.85,958.0,62.74,49.1,75.91,11724.0,10308
386,196,36,1968,620,528,60,10,187,110,4681087.0,100.0,986.0,90.33,87.16,93.47,175.0,16910
78,21,35,657,113,68,0,22,566,199,3472578.0,75.83,1001.0,84.31,79.16,89.49,4732.0,5007
172,42,83,675,48,47,0,14,827,172,2600880.0,33.94,984.0,79.04,71.2,86.84,3703.0,9469
97,33,139,421,51,60,0,8,1012,100,1502900.0,17.33,946.0,64.71,60.03,69.16,4497.0,4357
121,45,113,382,227,152,227,16,393,164,2161367.0,37.36,998.0,76.85,68.82,84.91,6036.0,6257
75,0,30,455,91,45,0,20,626,142,2259608.0,51.22,992.0,72.96,65.07,80.81,5760.0,4364
40,3,15,215,35,30,0,8,200,75,1076588.0,40.33,1015.0,75.86,67.05,84.86,2904.0,2239
251,111,200,1004,662,420,0,15,693,165,3041038.0,60.64,990.0,81.66,76.74,86.55,3710.0,8252
96,48,40,301,11,64,0,11,489,100,1614069.0,22.54,1025.0,84.09,78.0,90.38,2569.0,4418
73,0,27,226,43,62,0,15,333,83,1721179.0,40.27,986.0,74.92,66.68,83.09,3420.0,3997
33,21,4,99,12,40,0,10,508,107,564511.0,17.14,1006.0,74.68,66.11,83.39,1756.0,1783
118,20,48,245,69,75,1,21,601,174,3480008.0,51.04,954.0,73.23,65.43,80.7,5237.0,4706
180,24,56,524,60,93,0,15,765,165,2402781.0,35.39,1031.0,82.72,76.61,89.06,3411.0,6224
101,24,45,350,133,94,27,8,102,80,1243684.0,53.83,990.0,77.62,69.72,85.48,2868.0,4568
85,24,9,324,75,23,0,14,1234,133,3725697.0,65.3,983.0,83.82,78.39,89.18,3394.0,4043
64,6,27,321,34,11,0,10,473,96,1268094.0,20.4,1020.0,83.26,77.02,89.65,2274.0,4042
243,36,97,1105,91,157,0,22,802,203,3928106.0,43.13,1004.0,79.65,72.43,86.96,6075.0,10504
126,39,23,490,169,57,4,11,466,134,1943309.0,50.42,1009.0,80.75,73.14,88.46,4241.0,4298
197,139,46,805,224,727,21,52,1555,233,2737738.0,27.68,1003.0,61.55,51.99,71.22,16105.0,6075
259,198,106,1153,819,1214,2,57,1045,203,3811738.0,26.08,1009.0,64.87,55.18,74.72,11823.0,9406
168,308,73,1194,846,1032,10,41,783,185,2798214.0,23.43,1010.0,65.46,57.85,73.2,16029.0,11186
221,180,59,1196,312,638,9,46,1214,184,3031877.0,24.02,989.0,62.53,52.49,72.5,9699.0,7029
271,397,95,1141,342,906,8,59,1117,216,3483648.0,19.0,982.0,65.05,55.05,74.94,14240.0,9439
194,112,57,1154,321,991,26,36,822,129,2552073.0,23.03,1038.0,62.25,52.33,72.66,7956.0,7097
125,154,35,302,82,303,2,37,876,137,5296396.0,70.32,955.0,78.05,71.82,84.0,7493.0,2409
83,149,45,493,178,441,0,51,993,211,3522644.0,28.34,994.0,66.16,56.45,75.91,12846.0,4483
26,106,13,25,8,91,2,9,176,56,377988.0,10.71,945.0,86.82,80.83,92.45,2400.0,427
21,96,23,80,23,195,1,9,162,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885
17,73,11,35,9,82,0,6,82,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445
429,245,463,4066,410,757,51,17,1945,138,4380793.0,45.87,859.0,69.44,59.16,78.32,4041.0,9566
490,389,471,2858,356,831,31,14,1672,136,3673849.0,33.11,876.0,69.61,57.48,80.24,3650.0,8886
293,327,330,2760,517,721,0,22,2311,295,5959798.0,24.78,902.0,74.41,62.67,85.0,5482.0,10003
62,60,59,122,43,68,0,10,1374,113,2398709.0,11.74,976.0,74.37,64.62,83.95,2350.0,1344
73,63,99,208,78,258,0,8,1133,90,1372287.0,17.07,864.0,80.25,71.97,87.37,2016.0,1803
170,126,183,604,134,294,6,23,2618,283,4616509.0,8.52,1017.0,72.69,62.65,83.08,4054.0,2910
184,105,121,414,63,200,0,7,312,57,1302156.0,21.05,858.0,73.54,61.22,84.17,1321.0,1888
133,204,202,356,93,96,0,15,1594,142,3478257.0,8.26,891.0,51.1,40.76,60.23,5237.0,2345
97,71,116,395,84,192,0,18,1651,178,3223642.0,9.43,933.0,73.82,61.72,85.19,2981.0,1686
122,226,151,351,65,320,0,9,487,72,1799541.0,15.35,863.0,68.11,54.95,79.38,4408.0,2058
110,106,65,161,149,112,3,16,1992,157,3257983.0,10.14,908.0,63.76,54.1,72.49,4402.0,2476
349,236,337,1121,467,465,87,19,1966,154,4465344.0,34.99,883.0,60.52,50.35,69.47,4120.0,6592
55,45,53,122,19,82,0,15,1762,166,2461056.0,5.61,959.0,69.69,58.35,80.65,2688.0,761
203,284,184,591,205,201,6,16,1919,159,3683896.0,25.13,913.0,70.43,61.45,78.7,4561.0,3593
49,69,46,152,41,91,0,6,345,49,990626.0,9.73,879.0,66.52,54.03,77.42,3216.0,1005
102,110,137,250,42,105,2,18,1725,194,3098637.0,10.23,1013.0,73.53,61.34,86.07,2540.0,1692
212,166,172,534,100,278,3,11,1134,74,1761152.0,15.24,863.0,73.27,61.72,83.21,2431.0,2851
154,90,136,689,119,215,0,9,1330,86,1579160.0,23.2,867.0,79.99,71.16,87.64,2311.0,2720
73,111,120,399,138,112,0,17,1218,143,2468371.0,13.89,961.0,70.63,60.72,80.21,2341.0,2451
125,188,131,315,178,237,8,15,1606,180,2632684.0,12.25,900.0,68.78,57.76,78.69,4152.0,2604
346,191,284,899,175,332,44,11,1339,140,2496761.0,33.33,867.0,74.6,64.8,83.08,2407.0,4282
330,354,482,3724,494,899,39,6,318,31,4661452.0,67.46,878.0,85.0,81.42,88.16,1179.0,10141
152,72,128,380,93,167,0,17,1675,204,3622727.0,7.56,951.0,74.27,62.29,85.77,3377.0,1955
106,116,139,273,135,96,0,19,1791,181,3431386.0,6.56,922.0,61.16,49.13,72.23,4003.0,2058
258,276,299,1127,269,413,28,20,2291,192,4436275.0,18.78,944.0,73.25,61.54,84.38,3321.0,4634
156,119,177,337,95,273,0,25,2161,208,4091380.0,13.22,856.0,68.89,59.17,77.2,5986.0,3012
178,185,146,474,89,249,12,9,996,76,1565678.0,21.31,870.0,73.1,60.79,83.83,1840.0,2350
75,36,64,170,42,115,0,13,1159,86,1670718.0,25.06,865.0,75.16,63.88,84.89,4565.0,860
145,150,133,455,70,158,0,22,2355,260,4476072.0,7.45,1018.0,73.66,61.7,86.06,4038.0,2408
157,86,112,387,85,237,20,10,945,71,2000755.0,41.78,885.0,76.37,64.88,86.58,5024.0,2008
93,66,100,180,74,218,0,9,819,98,1658005.0,16.92,879.0,74.01,64.46,82.36,2093.0,2115
111,60,157,168,68,274,2,10,1354,119,1795092.0,9.66,862.0,77.52,68.48,85.27,3021.0,2127
310,240,442,1928,552,929,1,20,1091,175,4572951.0,65.93,852.0,81.31,76.89,85.07,3155.0,8606
77,43,92,223,74,233,0,8,876,117,1596909.0,7.79,905.0,63.69,50.76,75.35,1779.0,1939
43,75,34,86,44,69,0,7,713,49,1218002.0,14.38,905.0,64.95,52.26,76.41,5039.0,1001
276,206,377,3882,970,1527,47,9,1166,146,4588455.0,66.2,906.0,79.33,73.88,84.27,2528.0,14728
57,96,103,103,52,123,3,17,1057,118,2665292.0,5.06,938.0,64.3,50.14,77.62,2952.0,1209
63,66,58,110,30,99,0,5,452,41,876055.0,21.19,880.0,66.94,54.65,77.72,3144.0,840
195,70,142,571,75,180,0,10,1397,90,1847194.0,15.39,876.0,78.26,68.35,86.93,2760.0,2475
252,219,191,1368,267,429,28,13,1199,123,2541894.0,29.66,858.0,72.65,58.93,84.39,3340.0,4848
112,78,88,316,101,149,6,10,751,124,2205170.0,22.66,978.0,75.16,65.59,84.61,1713.0,1497
558,279,438,4188,437,985,0,14,771,175,3447405.0,51.13,885.0,74.8,65.69,82.91,2559.0,10148
38,57,12,69,45,64,1,13,1469,106,2494533.0,13.89,900.0,70.38,58.77,80.83,4405.0,796
194,267,190,987,221,629,0,10,1141,69,4773138.0,33.01,903.0,58.67,49.63,66.83,3718.0,4143
323,128,242,934,146,333,39,12,594,86,4138605.0,28.76,886.0,70.11,60.0,79.11,4008.0,3956
107,218,128,285,123,311,0,9,1205,97,2037225.0,17.43,889.0,63.58,52.43,73.46,3686.0,3011
239,206,248,649,187,370,0,18,1877,188,3173752.0,5.54,994.0,73.1,60.99,85.29,3717.0,4193
137,102,100,427,122,193,0,7,1116,85,2335398.0,25.21,905.0,55.08,46.19,63.1,2367.0,1953
205,226,273,1017,217,389,47,14,1357,127,3464228.0,30.71,887.0,72.03,63.3,79.77,3689.0,4281
259,249,210,406,118,370,0,17,2185,161,3002376.0,19.7,865.0,61.61,51.73,70.09,4388.0,3223
34,15,40,89,65,40,0,5,803,54,1114615.0,3.45,875.0,49.13,37.07,59.55,1640.0,806
155,222,216,510,79,389,0,23,2603,238,4474446.0,11.84,879.0,63.38,52.8,72.61,5743.0,4021
55,79,20,107,26,43,1,8,1033,67,1862612.0,16.89,913.0,66.18,54.11,77.19,6905.0,783
106,141,157,510,88,156,0,15,1341,117,3790922.0,5.28,978.0,71.14,60.17,81.99,4436.0,2480
156,207,268,462,135,486,4,17,2107,202,3110595.0,17.14,901.0,68.29,58.54,77.06,4558.0,3522
124,146,166,878,398,496,38,10,1331,119,3682194.0,43.43,909.0,77.05,68.2,85.12,1535.0,3839
8,19,40,16,4,11,0,11,1401,107,621927.0,10.02,1142.0,81.06,70.44,93.57,3144.0,151
6,9,0,11,3,6,0,3,584,46,259840.0,3.5,1093.0,80.69,69.59,93.2,2241.0,82
5,13,7,16,3,13,0,9,809,78,391114.0,15.11,1021.0,83.48,73.2,94.18,8030.0,132
3,24,0,7,5,12,0,4,498,40,259315.0,14.79,981.0,80.73,68.81,92.65,1766.0,112
67,170,69,585,219,240,11,6,953,82,1698560.0,55.9,902.0,85.24,79.61,90.32,3088.0,2243
52,109,160,198,45,74,1,8,1040,78,955128.0,38.94,933.0,84.85,78.21,91.09,4251.0,1153
8,24,11,20,4,19,0,8,948,92,485993.0,14.31,1021.0,82.93,72.97,93.45,7090.0,133
11,21,13,24,9,7,0,9,1468,115,616409.0,11.37,1078.0,75.1,61.77,89.91,3642.0,135
3,27,15,17,4,16,0,6,662,61,329686.0,7.35,959.0,75.98,62.23,89.26,8016.0,110
95,388,176,665,87,419,11,7,776,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3428
187,263,71,289,87,455,8,25,2179,223,3596292.0,8.36,954.0,70.95,60.44,81.0,6882.0,3151
336,295,125,452,140,519,9,25,1704,184,3502387.0,12.8,956.0,70.9,64.07,77.42,4545.0,3834
231,230,206,207,58,425,9,10,920,78,1670931.0,14.13,954.0,73.86,67.81,79.63,2219.0,2480
132,458,218,779,48,734,7,11,1107,139,3869675.0,27.0,954.0,73.79,66.65,80.61,6227.0,4054
212,463,423,4726,2046,2044,177,1,141,94,4486679.0,100.0,899.0,87.14,84.98,89.08,185.0,26568
2429,1747,596,971,234,3026,23,33,3142,286,7102430.0,19.78,957.0,67.53,63.88,71.02,5324.0,15481
1014,842,463,1072,387,2102,75,27,2227,232,5168488.0,27.81,947.0,75.58,71.35,79.58,3927.0,12020
391,296,208,801,137,1485,24,37,3430,324,5943300.0,11.65,960.0,79.04,71.11,86.66,9368.0,5883
446,691,350,797,177,958,26,13,1131,115,3000849.0,12.07,936.0,60.13,53.15,66.65,3140.0,8628
67,183,187,1465,251,232,6,20,84,20,1054686.0,97.25,818.0,86.43,81.38,90.54,114.0,3314
12,6,10,55,39,3,3,1,26,4,190855.0,46.62,533.0,88.06,81.14,91.53,72.0,201
4,0,0,2,3,1,0,1,13,3,52056.0,83.1,1030.0,83.36,75.83,91.24,39.0,35
26,60,44,1368,201,91,8,7,29,7,133713.0,-25.35,811.0,89.38,84.83,93.04,35.0,2390
0,3,0,25,2,3,0,3,10,9,64429.0,78.02,946.0,92.28,88.25,96.11,30.0,81
7,9,1,53,9,14,2,1,38,8,200314.0,49.01,1048.0,87.83,82.61,93.36,157.0,674
